factor,year,ic,rank_ic,count
dist_to_low_20d,2026.0,-0.23298835573219384,-0.16484325689038498,97.0
dist_to_high_60d,2018.0,-0.22633233001861644,-0.23502930841640124,183.0
dist_to_high_60d,2019.0,-0.07689609638584535,-0.047267276669357615,244.0
dist_to_high_60d,2020.0,-0.00301191052407363,0.016896131402394855,243.0
dist_to_high_60d,2021.0,0.008078102259210957,0.05942270001836231,243.0
dist_to_high_60d,2022.0,-0.11287575714814196,-0.14490271121574178,242.0
dist_to_high_60d,2023.0,0.031655894084564734,0.03270351744753446,242.0
dist_to_high_60d,2024.0,-0.28284192232106403,-0.3224765250147097,242.0
dist_to_high_60d,2025.0,0.0037308309095400454,-0.03797254246774071,243.0
dist_to_high_60d,2026.0,-0.08565432366753774,-0.07833262106089951,97.0
dist_to_low_60d,2018.0,-0.011323712890016232,-0.11365674608312518,183.0
dist_to_low_60d,2019.0,-0.277563172081166,-0.29774153857309155,244.0
dist_to_low_60d,2020.0,-0.29829196937425384,-0.3010485516791414,243.0
dist_to_low_60d,2021.0,-0.08272041417110203,-0.08581304258559286,243.0
dist_to_low_60d,2022.0,0.06922003636816702,0.04142901898359417,242.0
dist_to_low_60d,2023.0,-0.007461252927044193,0.03937023875148283,242.0
dist_to_low_60d,2024.0,-0.08370552306130878,-0.049271063030259785,242.0
dist_to_low_60d,2025.0,-0.17502886689664557,-0.19547669266608667,243.0
dist_to_low_60d,2026.0,-0.46086055800310394,-0.48202609544921554,97.0
dist_to_high_120d,2018.0,-0.23766812300686171,-0.2544567497635837,123.0
dist_to_high_120d,2019.0,-0.16530780740614612,-0.12711900110715552,244.0
dist_to_high_120d,2020.0,-0.045376959888683066,-0.04877617362679456,243.0
dist_to_high_120d,2021.0,-0.00019312378668214563,0.03876076287130996,243.0
dist_to_high_120d,2022.0,-0.10173382212827535,-0.12448947710012635,242.0
dist_to_high_120d,2023.0,-0.023696058633231338,-0.056236582037827325,242.0
dist_to_high_120d,2024.0,-0.19717794221785204,-0.19634751622191665,242.0
dist_to_high_120d,2025.0,0.044553394941899464,-0.06899399524982053,243.0
dist_to_high_120d,2026.0,-0.10080648543434524,-0.09175844045038725,97.0
dist_to_low_120d,2018.0,-0.12768153969150733,-0.1770115535631851,123.0
dist_to_low_120d,2019.0,-0.3221470370532126,-0.3158019300999077,244.0
dist_to_low_120d,2020.0,-0.327638015384329,-0.28272935249507836,243.0
dist_to_low_120d,2021.0,-0.1556011179597695,-0.199235273750922,243.0
dist_to_low_120d,2022.0,-0.012741831407832555,-0.030035490523240907,242.0
dist_to_low_120d,2023.0,0.026435037412909805,0.06642196241821403,242.0
dist_to_low_120d,2024.0,-0.10774593236843123,-0.07113357761437764,242.0
dist_to_low_120d,2025.0,-0.17344637834192134,-0.2161989247895742,243.0
dist_to_low_120d,2026.0,-0.3408158346526415,-0.3099499985223412,97.0
dist_to_high_250d,2019.0,-0.19302260382748898,-0.14397808002947612,237.0
dist_to_high_250d,2020.0,-0.06199478458567515,-0.0661084935501328,243.0
dist_to_high_250d,2021.0,-0.00019312378668214563,0.03876076287130996,243.0
dist_to_high_250d,2022.0,-0.251272940713208,-0.25794716257760947,242.0
dist_to_high_250d,2023.0,0.02195314397346111,-0.04334277506495067,242.0
dist_to_high_250d,2024.0,-0.1504908425417172,-0.23536976280469535,242.0
dist_to_high_250d,2025.0,-0.13094436919799127,-0.20424415162385937,243.0
dist_to_high_250d,2026.0,-0.10080648543434524,-0.09175844045038725,97.0
dist_to_low_250d,2019.0,-0.3338482963137824,-0.2791684048395553,237.0
dist_to_low_250d,2020.0,-0.3735962796490724,-0.36731589263915315,243.0
dist_to_low_250d,2021.0,-0.1902382557601475,-0.21956366929926655,243.0
dist_to_low_250d,2022.0,-0.4022405556914364,-0.4459333194194293,242.0
dist_to_low_250d,2023.0,0.20736678002890063,0.19531172107837022,242.0
dist_to_low_250d,2024.0,-0.10774593236843123,-0.07113357761437764,242.0
